id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
access_3mit_withholding_islr_islr_wh_concept,3mit_withholding_islr.islr_wh_concept,model_islr_wh_concept,3mit_grupo_localizacion.group_localizacion,1,1,1,1
access_3mit_withholding_islr_islr_wh_doc_line,3mit_withholding_islr.islr.wh.doc.line,model_islr_wh_doc_line,3mit_grupo_localizacion.group_localizacion,1,1,1,1
access_3mit_withholding_islr_islr_xml_wh_doc,3mit_withholding_islr.islr.xml.wh.doc,model_islr_xml_wh_doc,3mit_grupo_localizacion.group_localizacion,1,1,1,1
access_3mit_withholding_islr_islr_xml_wh_line,3mit_withholding_islr.islr.xml.wh.line,model_islr_xml_wh_line,3mit_grupo_localizacion.group_localizacion,1,1,1,1
access_3mit_withholding_islr_islr_rates,3mit_withholding_islr.islr.rates,model_islr_rates,3mit_grupo_localizacion.group_localizacion,1,1,1,1
access_3mit_withholding_islr_islr_wh_doc,3mit_withholding_islr.islr.wh.doc,model_islr_wh_doc,3mit_grupo_localizacion.group_localizacion,1,1,1,1
access_3mit_withholding_islr_employee_income_wh,3mit_withholding_islr.employee.income.wh,model_employee_income_wh,3mit_grupo_localizacion.group_localizacion,1,1,1,1
access_3mit_withholding_islr_partner_income_wh_print,3mit_withholding_islr.partner.income.wh.print,model_partner_income_wh_print,3mit_grupo_localizacion.group_localizacion,1,1,1,1
access_3mit_withholding_islr_wh_islr_group,3mit_withholding_islr.wh.islr.group,model_wh_islr_group,3mit_grupo_localizacion.group_localizacion,1,1,1,1
access_3mit_withholding_wizard_group_retention_islr,3mit_withholding_islr.wizard.group.retention.islr,model_wizard_group_retention_islr,3mit_grupo_localizacion.group_localizacion,1,1,1,1








